"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova"
"EA";"12025";"KVV";"Katedra vìd o výchovì";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912025";""
"EA";"12026";"KCJ";"Katedra cizích jazykù";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912026";""
"EA";"12027";"KCJ";"Katedra cizích jazykù";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"26.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912027";""
"EA";"12028";"KCJ";"Katedra cizích jazykù";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912028";""
"EA";"12029";"FF";"Fakulta filozofická";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"22.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912029";""
"EA";"12030";"FF";"Fakulta filozofická";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"21.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912030";""
"EA";"12031";"KCJ";"Katedra cizích jazykù";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"26.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912031";""
"EA";"12032";"KSKA";"Katedra sociální a kulturní antropologie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912032";""
"EA";"12033";"KSKA";"Katedra sociální a kulturní antropologie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912033";""
"EA";"12034";"KSKA";"Katedra sociální a kulturní antropologie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"25.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912034";""
"EA";"12035";"KHV";"Katedra historických vìd";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"25.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912035";""
"EA";"12036";"KHV";"Katedra historických vìd";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"23.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912036";""
"EA";"12037";"KHV";"Katedra historických vìd";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912037";""
"EA";"12038";"KHV";"Katedra historických vìd";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"23.0";"";"";"12";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030912038";""
